address,coordinates
"3133 E Main St, Mohegan Lake NY 10547","41.3106205, -73.8668093"
"288 Larkin, Monroe NY 10950","41.3171112, -74.1495203"
"41 Anawana Lake Road, Monticello NY 12701",
"4765 Commercial Drive, New Hartford NY 13413","43.0954098, -75.3123635"
"1201 Rt 300, Newburgh NY 12550","41.5183998, -74.0688892"
"255 W Main St, Avon CT 6001","41.8119803, -72.8536303"
"120 Commercial Parkway, Branford CT 6405","41.281227, -72.8309409"
"1400 Farmington Ave, Bristol CT 6010","41.697503, -72.897623"
"161 Berlin Road, Cromwell CT 6416","41.6054658, -72.7118294"
"67 Newton Rd, Danbury CT 6810",
"656 New Haven Ave, Derby CT 6418","41.3137331, -73.0520497"
"69 Prospect Hill Road, East Windsor CT 6088","41.9232537, -72.6076253"
"150 Gold Star Hwy, Groton CT 6340","41.3698682, -72.0649664"
"900 Boston Post Road, Guilford CT 6437","41.287176, -72.678888"
"2300 Dixwell Ave, Hamden CT 6514","41.3736491, -72.9190073"
"495 Flatbush Ave, Hartford CT 6106","41.7424437, -72.7125849"
"180 River Rd, Lisbon CT 6351",
"420 Buckland Hills Dr, Manchester CT 6040","41.8067094, -72.5377597"
"1365 Boston Post Road, Milford CT 6460","41.238033, -73.0316643"
"1100 New Haven Road, Naugatuck CT 6770","41.4706508, -73.0279878"
"315 Foxon Blvd, New Haven CT 6513","41.3200188, -72.876837"
"164 Danbury Rd, New Milford CT 6776","41.5520315, -73.4197505"
"3164 Berlin Turnpike, Newington CT 6111","41.6631348, -72.7183557"
"474 Boston Post Road, North Windham CT 6256","41.7409867, -72.1741308"
"650 Main Ave, Norwalk CT 6851","41.15845, -73.4179056"
"680 Connecticut Avenue, Norwalk CT 6854","41.0960426, -73.4496919"
"220 Salem Turnpike, Norwich CT 6360","41.5047658, -72.1216279"
"655 Boston Post Rd, Old Saybrook CT 6475","41.2868483, -72.4075176"
"625 School Street, Putnam CT 6260","41.9232804, -71.8891181"
"80 Town Line Rd, Rocky Hill CT 6067","41.680708, -72.6574675"
"465 Bridgeport Avenue, Shelton CT 6484","41.2913565, -73.1129671"
"235 Queen St, Southington CT 6489","41.6230288, -72.8694936"
"150 Barnum Avenue Cutoff, Stratford CT 6614","41.2013426, -73.1186671"
"970 Torringford Street, Torrington CT 6790","41.8184148, -73.0779849"
"844 No Colony Road, Wallingford CT 6492",
"910 Wolcott St, Waterbury CT 6705","41.5654766, -73.0078932"
"155 Waterford Parkway No, Waterford CT 6385","41.3709736, -72.1550998"
"515 Sawmill Road, West Haven CT 6516","41.2706556, -72.9775247"
"2473 Hackworth Road, Adamsville AL 35005","33.5792471, -86.9246754"
"630 Coonial Promenade Pkwy, Alabaster AL 35007",
"2643 Hwy 280 West, Alexander City AL 35010",
"540 West Bypass, Andalusia AL 36420",
"5560 Mcclellan Blvd, Anniston AL 36206","33.7199492, -85.8201347"
"1450 No Brindlee Mtn Pkwy, Arab AL 35016",
"1011 US Hwy 72 East, Athens AL 35611","34.788646, -86.9587912"
"973 Gilbert Ferry Road Se, Attalla AL 35954","33.9968725, -86.0972963"
"1717 South College Street, Auburn AL 36830","32.5749405, -85.4987209"
"701 Mcmeans Ave, Bay Minette AL 36507",
"750 Academy Drive, Bessemer AL 35022","33.361719, -87.001921"
"312 Palisades Blvd, Birmingham AL 35209","33.4678591, -86.8215825"
"1600 Montclair Rd, Birmingham AL 35210","33.5290247, -86.7206187"
"5919 Trussville Crossings Pkwy, Birmingham AL 35235","33.638999, -86.6291755"
"9248 Parkway East, Birmingham AL 35206","33.590204, -86.70022"
"1972 Hwy 431, Boaz AL 35957",
"10675 Hwy 5, Brent AL 35034",
"2041 Douglas Avenue, Brewton AL 36426","31.1395854, -87.0689037"
"5100 Hwy 31, Calera AL 35040","33.1478887, -86.7493245"
"1916 Center Point Rd, Center Point AL 35215",
"1950 W Main St, Centre AL 35960","34.1628465, -85.7125857"
"16077 Highway 280, Chelsea AL 35043","33.3552619, -86.5696811"
"1415 7Th Street South, Clanton AL 35045","32.8167423, -86.6093686"
"626 Olive Street Sw, Cullman AL 35055","34.149168, -86.8420593"
"27520 Hwy 98, Daphne AL 36526","30.6251379, -87.9046422"
"2800 Spring Avn SW, Decatur AL 35603",
"969 Us Hwy 80 West, Demopolis AL 36732",
"3300 South Oates Street, Dothan AL 36301","31.1788331, -85.4044811"
"4310 Montgomery Hwy, Dothan AL 36303","31.2681469, -85.4412479"
"600 Boll Weevil Circle, Enterprise AL 36330","31.331293, -85.873431"
"3176 South Eufaula Avenue, Eufaula AL 36027","31.8434475, -85.1709912"
"7100 Aaron Aronov Drive, Fairfield AL 35064","33.4704577, -86.9201697"
"10040 County Road 48, Fairhope AL 36533","30.5231732, -87.8516707"
"3186 Hwy 171 North, Fayette AL 35555",
"3100 Hough Rd, Florence AL 35630","34.834179, -87.6252755"
"2200 South Mckenzie St, Foley AL 36535","30.3824756, -87.68642"
"2001 Glenn Bldv Sw, Fort Payne AL 35968",
"340 East Meighan Blvd, Gadsden AL 35903","34.0128879, -85.9871879"
"890 Odum Road, Gardendale AL 35071","33.6470697, -86.8227666"
"1608 W Magnolia Ave, Geneva AL 36340","31.0514225, -85.8994081"
"501 Willow Lane, Greenville AL 36037","31.849507, -86.647223"
"170 Fort Morgan Road, Gulf Shores AL 36542","30.2659437, -87.6496837"
"11697 US Hwy 431, Guntersville AL 35976",
"42417 Hwy 195, Haleyville AL 35565",
"1706 Military Street South, Hamilton AL 35570","34.1196685, -87.9923468"
"1201 Hwy 31 NW, Hartselle AL 35640",
"209 Lakeshore Parkway, Homewood AL 35209","33.4471, -86.821"
"2780 John Hawkins Pkwy, Hoover AL 35244","33.3618017, -86.8246595"
"5335 Hwy 280 South, Hoover AL 35242",
"1007 Red Farmer Drive, Hueytown AL 35023","33.4605485, -86.9684597"
"2900 S Mem PkwyDrake Ave, Huntsville AL 35801",
"11610 Memorial Pkwy South, Huntsville AL 35803","34.619134, -86.5669393"
"2200 Sparkman Drive, Huntsville AL 35810","34.7651664, -86.5924562"
"330 Sutton Rd, Huntsville AL 35763","34.659941, -86.4873212"
"6140A Univ Drive, Huntsville AL 35806","34.7479285, -86.6906995"
"4206 N College Ave, Jackson AL 36545",
"1625 Pelham South, Jacksonville AL 36265","33.7881312, -85.76505"
"1801 Hwy 78 East, Jasper AL 35501",
"8551 Whitfield Ave, Leeds AL 35094","33.5620825, -86.5186548"
"8650 Madison Blvd, Madison AL 35758","34.6838075, -86.7410865"
"145 Kelley Blvd, Millbrook AL 36054","32.4938023, -86.398471"
"1970 S University Blvd, Mobile AL 36609","30.6879465, -88.1734779"
"6350 Cottage Hill Road, Mobile AL 36609","30.6402975, -88.1888624"
"101 South Beltline Highway, Mobile AL 36606",
"2500 Dawes Road, Mobile AL 36695","30.6392657, -88.2463532"
"5245 Rangeline Service Rd, Mobile AL 36619","30.5917211, -88.1476271"
"685 Schillinger Rd, Mobile AL 36695","30.675871, -88.225408"
"3371 S Alabama Ave, Monroeville AL 36460","31.4807184, -87.3282838"
"10710 Chantilly Pkwy, Montgomery AL 36117","32.3548053, -86.1349365"
"3801 Eastern Blvd, Montgomery AL 36116","32.325935, -86.2325324"
"6495 Atlanta Hwy, Montgomery AL 36117","32.385046, -86.184915"
"851 Ann St, Montgomery AL 36107","32.3709333, -86.2683167"
"15445 Highway 24, Moulton AL 35650",
"517 West Avalon Ave, Muscle Shoals AL 35661",
"5710 Mcfarland Blvd, Northport AL 35476","33.2349315, -87.6134174"
"2453 2Nd Avenue East, Oneonta AL 35121  205-625-647",
"2900 Pepperrell Pkwy, Opelika AL 36801",
"92 Plaza Lane, Oxford AL 36203","33.5989373, -85.8323786"
"1537 Hwy 231 South, Ozark AL 36360",
"2181 Pelham Pkwy, Pelham AL 35124","33.340851, -86.791181"
"165 Vaughan Ln, Pell City AL 35125","33.6095275, -86.2771424"
"3700 Hwy 280-431 N, Phenix City AL 36867",
"1903 Cobbs Ford Rd, Prattville AL 36066","32.463079, -86.4163618"
"4180 Us Hwy 431, Roanoke AL 36274",
"13675 Hwy 43, Russellville AL 35653","34.492409, -87.7285783"
"1095 Industrial Pkwy, Saraland AL 36571","30.801998, -88.1008507"
"24833 Johnt Reidprkw, Scottsboro AL 35768",
"1501 Hwy 14 East, Selma AL 36703",
"7855 Moffett Rd, Semmes AL 36575","30.761749, -88.2294857"
"150 Springville Station Blvd, Springville AL 35146","33.7792694, -86.4296681"
"690 Hwy 78, Sumiton AL 35148","33.7453936, -87.0417515"
"41301 US Hwy 280, Sylacauga AL 35150","33.1725561, -86.2710491"
"214 Haynes Street, Talladega AL 35160","33.4385836, -86.0803585"
"1300 Gilmer Ave, Tallassee AL 36078","32.5507807, -85.9171253"
"34301 Hwy 43, Thomasville AL 36784","31.9428173, -87.7409674"
"1420 Us 231 South, Troy AL 36081",
"1501 Skyland Blvd E, Tuscaloosa AL 35405","33.1653311, -87.5187254"
"3501 20th Av, Valley AL 36854","32.7934542, -85.1596286"
"1300 Montgomery Highway, Vestavia Hills AL 35216","33.4285646, -86.7918601"
"4538 Us Hwy 231, Wetumpka AL 36092","32.5937012, -86.2139604"
"2575 Us Hwy 43, Winfield AL 35594",
